airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,latitude,longitude,negative_score,positive_score,neutral_score,compound_score,NltkResult,TextBlob Polarity Score,Textblob PolarityResult sentiment,TextBlob Subjectivity Score,Textblob SubjectivityResult sentiment,Happy,Angry,Surprise,Sad,Fear,emotionResult
positive,1,,0,Delta,AeroJobMarket,0,jetblue airbus amazing video dbcvepnqc great world guys bluemanity corevalues passion aerojobmarket,21-02-2015 03:54,49.69820904,-96.29762036,0,0.548,0.452,0.8979,positive,0.7,positive,0.7,Subjective,0.33,0.33,0.33,0,0,happy
positive,1,,0,Delta,Michael_Lytle,0,jetblue today family gets experience mosaic status lifeisgood,21-02-2015 03:30,34.86637046,-91.6685879,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6503,,0,Delta,Galapaghxst,0,jetblue real nigga north play around,21-02-2015 03:10,42.14327753,-107.7662403,0,0.324,0.676,0.34,positive,0.2,positive,0.2,Objective,0,0,0,0.5,0.5,sad
positive,0.6394,,0,Delta,mutantgatto,0,jetblue word thanks,21-02-2015 03:08,42.931246,-99.98642962,0,0.592,0.408,0.4404,positive,0.2,positive,0.2,Objective,0,1,0,0,0,angry
neutral,1,,0,Delta,mutantgatto,0,jetblue chance offer fresh guacamole flights,21-02-2015 02:53,37.25136674,-101.3006614,0,0.518,0.482,0.5106,positive,0.3,positive,0.3,Objective,0,0,0,0,1,fear
neutral,0.6526,,0,Delta,tammyterez,0,jetblue degree weather westpalmbeachbound,21-02-2015 02:37,36.52069493,-95.48637211,0,0,1,0,neutral,0,neutral,0,Very Objective,1,0,0,0,0,happy
neutral,1,,0,Delta,JetBlueNews,0,jetblue airways lowered strong sell vetr jblu mideast time ymmhkcbr,21-02-2015 02:36,48.29841149,-102.7806949,0.117,0.258,0.625,0.4215,positive,0.433333333,positive,0.433333333,Neutral,1,0,0,0,0,happy
neutral,1,,0,Delta,theycallme_HH,0,jetblue thank paris could arrange something,21-02-2015 02:10,41.88884082,-97.81733491,0,0.333,0.667,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Delta,theycallme_HH,0,jetblue trying away king scollegelondon possible charity today would help jailbreak,21-02-2015 02:04,41.23426159,-99.55735769,0,0.379,0.621,0.6705,positive,0,neutral,0,Very Objective,0.25,0.25,0.25,0,0.25,happy
neutral,1,,0,Delta,JetBlueNews,0,jetblue fliers gain access content zacks gouzrdtzf,21-02-2015 01:36,43.2755622,-103.7203618,0,0.362,0.638,0.5267,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.674,Late Flight,0.674,Delta,chelseylamwatt,0,jetblue ideal okay better late flight never,21-02-2015 01:31,34.86048706,-103.0031561,0,0.672,0.328,0.802,positive,0.4,positive,0.4,Objective,0,0,0.5,0.5,0,surprise
negative,1,Lost Luggage,1,Delta,mattwheeler,0,jetblue yeah done define incidentals much spend gear trip waste,21-02-2015 00:12,42.74217908,-99.66904543,0.215,0.169,0.615,-0.1531,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Lost Luggage,1,Delta,mattwheeler,0,jetblue guys lost gear flew stuff tomorrow,21-02-2015 00:02,38.54119044,-107.8237585,0.277,0,0.723,-0.3182,negative,0,neutral,0,Very Objective,0,0.5,0,0.5,0,angry
positive,0.6742,,0,Delta,traciglee,0,jetblue,20-02-2015 23:30,40.97099996,-101.5522943,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6039,,0,Delta,woawABQ,0,jetblue would love girls inspired becoming pilots free woaw event march rfxlvkgdh,20-02-2015 22:16,46.61340549,-105.7012098,0,0.543,0.457,0.8934,positive,0.45,positive,0.45,Neutral,0.6,0,0.2,0,0.2,happy
neutral,0.3602,,0,Delta,jmoalmawali,0,jetblue thanks anyways southwestair back awesome rate amazing customer service nomoreaggravation,20-02-2015 21:32,42.2418843,-107.5420914,0,0.574,0.426,0.8957,positive,0.45,positive,0.45,Neutral,0,0,0.67,0,0.33,surprise
negative,1,Customer Service Issue,1,Delta,jmoalmawali,0,jetblue hold mins placed hold hung time days looking group rates people,20-02-2015 21:25,30.24667947,-100.6074074,0,0,1,0,neutral,0,neutral,0,Very Objective,0.33,0,0.33,0,0.33,happy
negative,1,Customer Service Issue,1,Delta,jmoalmawali,0,jetblue customer service terrible neveragain flywhonotblue,20-02-2015 21:21,42.40837637,-98.04050233,0.383,0,0.617,-0.4767,negative,-1,negative,-1,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,0.6617,Delta,thatsmypotpie,0,jetblue delayed ridiculous,20-02-2015 21:18,44.54840528,-103.2142802,0.815,0,0.185,-0.5267,negative,-0.333333333,negative,-0.333333333,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Attendant Complaints,1,Delta,genna_campos,0,jetblue flight attendants suck always rude experience jetblue tonight,20-02-2015 21:16,37.02923279,-99.14036197,0.457,0,0.543,-0.7096,negative,-0.3,negative,-0.3,Very Objective,0,0,0.5,0.5,0,surprise
negative,1,Late Flight,0.6404,Delta,AMakuh,0,jetblue says person delayed hours sitting runway wailing baby,20-02-2015 20:52,39.04758889,-103.5958856,0.192,0,0.808,-0.2263,negative,0,neutral,0,Very Objective,0,0,0.5,0.5,0,surprise
negative,1,Late Flight,1,Delta,cindydavis_,0,jetblue flight delayed still sitting runway minutes travel best,20-02-2015 20:48,46.04523175,-99.72484636,0.145,0.321,0.534,0.5106,positive,1,positive,1,Very Subjective,0,0,1,0,0,surprise
neutral,0.3363,,0,Delta,KoolieAshSays,0,jetblue makes sense,20-02-2015 20:41,38.26514363,-103.2413088,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Can't Tell,0.6761,Delta,thatsmypotpie,0,jetblue,20-02-2015 20:38,44.57153656,-97.32728,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.662,Flight Booking Problems,0.662,Delta,KoolieAshSays,0,jetblue site book tickets,20-02-2015 20:35,35.27664266,-103.4144312,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Late Flight,1,Delta,jcran72,0,jetblue late flight lost almost hours area weekend mention hours unnecessary vacation time work,20-02-2015 20:32,31.4843571,-103.9516361,0.15,0,0.85,-0.3182,negative,-0.35,negative,-0.35,Very Objective,0,0,0,0.5,0.5,sad
positive,1,,0,Delta,LustyLovah,0,jetblue course,20-02-2015 20:16,39.98666359,-100.187123,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Delta,FerrisSalameh,0,jetblue thank,20-02-2015 20:03,37.78131369,-116.791782,0,0.714,0.286,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.7263,,0,Delta,TumbaSherman,0,jetblue thanks,20-02-2015 20:00,41.08657536,-97.03222664,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
negative,0.6252,Bad Flight,0.3307,Delta,TumbaSherman,0,jetblue exact data download fine upload bandwidth ping issue ping especially,20-02-2015 20:00,33.7967849,-96.52649452,0,0.153,0.847,0.2023,positive,0.222222222,positive,0.222222222,Objective,1,0,0,0,0,happy
positive,1,,0,Delta,corradokid,0,jetblue ferrissalameh love jetblue speedy twitter customer service,20-02-2015 19:59,42.30934144,-97.50694653,0,0.375,0.625,0.6369,positive,0.5,positive,0.5,Neutral,0.5,0,0,0.5,0,happy
neutral,1,,0,Delta,FerrisSalameh,0,jetblue since high likelihood snow time flight tomorrow chance rebook sunday,20-02-2015 19:56,34.10734271,-91.87621295,0,0.167,0.833,0.25,positive,0.16,positive,0.16,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Delta,JetBlueNews,0,jetblue nantucket washington business journal ebxckfjd,20-02-2015 19:36,35.58714943,-103.2563947,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
positive,0.7047,,0,Delta,airtraffic01,0,jetblue thanks,20-02-2015 19:32,40.06167422,-101.5195631,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
neutral,1,,0,Delta,airtraffic01,0,jetblue traveling kids tomorrow ages domestic need birth certificates check airport,20-02-2015 19:25,37.28956589,-108.6875365,0,0,1,0,neutral,0,neutral,0,Very Objective,0.33,0.33,0,0,0.33,happy
positive,1,,0,Delta,joel_betances,0,jetblue thank much effort,20-02-2015 19:22,42.66321046,-91.72219411,0,0.455,0.545,0.3612,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
positive,1,,0,Delta,thatsmypotpie,0,jetblue thanks letting know hoping delays,20-02-2015 19:19,45.94949355,-103.0373605,0,0.588,0.412,0.6908,positive,0.2,positive,0.2,Objective,0,0,0,1,0,sad
negative,0.6854,Late Flight,0.3512,Delta,thatsmypotpie,0,jetblue appreciate response worst part losing refundable hotel orlando crew blamed wind hoping delays,20-02-2015 19:17,33.70897777,-100.2379647,0.403,0.226,0.37,-0.6486,negative,-1,negative,-1,Very Objective,0.25,0,0,0.75,0,sad
neutral,1,,0,Delta,thatsmypotpie,0,jetblue flight orlando,20-02-2015 19:07,35.96857473,-97.91946046,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Late Flight,1,Delta,thatsmypotpie,0,jetblue awful flight honeymoon delayed lost money hotel delayforwhat,20-02-2015 19:04,42.58995973,-96.4711104,0.545,0,0.455,-0.7351,negative,-1,negative,-1,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Delta,joel_betances,0,jetblue phone number news,20-02-2015 18:59,47.22708411,-92.08918349,0,0.302,0.698,0.0772,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,0.3398,Delta,jcran72,0,jetblue flight freaking nightmare tonight sittingonthetarmac delay,20-02-2015 18:58,36.14636925,-96.16039249,0.505,0,0.495,-0.6249,negative,0,neutral,0,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Delta,DKHurts,0,jetblue used points back decide,20-02-2015 18:58,44.66832731,-93.3982682,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.5,0,0.5,surprise
neutral,1,,0,Delta,joel_betances,0,jetblue picture lxwbsfxfj,20-02-2015 18:58,42.72314365,-99.61687019,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.3477,Late Flight,0.3477,Delta,ThatJasonEaton,0,jetblue appreciate speedy response longer delay inconvenience customers please change,20-02-2015 18:49,37.51959882,-96.61814047,0.304,0.316,0.38,0.0516,positive,0,neutral,0,Very Objective,0.33,0,0,0.67,0,sad
positive,0.6596,,0,Delta,farms122,0,jetblue thanks,20-02-2015 18:46,40.33383234,-95.01277941,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
neutral,0.6383,,0,Delta,tsmit,0,jetblue share coming,20-02-2015 18:45,37.87747691,-104.1508645,0,0.524,0.476,0.296,positive,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.3469,,0,Delta,tsmit,0,jetblue weather flight still time boston,20-02-2015 18:39,44.60136989,-105.7333384,0,0,1,0,neutral,0,neutral,0,Very Objective,1,0,0,0,0,happy
neutral,0.6612,,0,Delta,dlewis2412,0,jetblue dlewis sorry please inflght open seat move,20-02-2015 18:34,44.06878746,-103.7630386,0.135,0.24,0.625,0.25,positive,-0.25,negative,-0.25,Very Objective,0,0,0,0.67,0.33,sad
negative,1,Late Flight,1,Delta,tsmit,0,jetblue going flight delayed beyond thre flights switch point,20-02-2015 18:33,35.44536312,-106.7070687,0.192,0,0.808,-0.2263,negative,0,neutral,0,Very Objective,0,0,0.33,0,0.67,fear
positive,0.6551,,0,Delta,KTrerotola,0,jetblue thanks info figured case hopefully hashtag change abcletjetbluestreamfeed,20-02-2015 18:32,36.74125238,-98.69418695,0,0.444,0.556,0.6808,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
negative,1,Bad Flight,0.6882,Delta,dlewis2412,0,jetblue broken seat flight today planned catch cavs game nooooo,20-02-2015 18:31,36.61180007,-100.3463265,0.256,0,0.744,-0.4767,negative,-0.4,negative,-0.4,Very Objective,0,0,1,0,0,surprise
neutral,1,,0,Delta,MadameMaryAnn,0,jetblue april anything specific know first flight,20-02-2015 18:28,39.82284213,-94.62872277,0,0,1,0,neutral,0.125,positive,0.125,Very Objective,0,0,1,0,0,surprise
negative,1,Customer Service Issue,1,Delta,joel_betances,0,jetblue bein calling jetblue respond leave number call back think jetblue loosing customer,20-02-2015 18:27,41.4790511,-105.4727588,0.089,0.096,0.815,0.0258,positive,0,neutral,0,Very Objective,0,0,0.5,0,0.5,surprise
negative,1,Bad Flight,1,Delta,TumbaSherman,0,jetblue sleeping rather disturb flight tried movie nhizlzmk,20-02-2015 18:23,37.79093436,-102.1945628,0.278,0,0.722,-0.4019,negative,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.3537,Late Flight,0.3537,Delta,TraveLifeLove,0,made costa rica back jetblue missing already pura vida,20-02-2015 18:21,42.16193827,-102.0907868,0.216,0,0.784,-0.296,negative,-0.1,negative,-0.1,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Delta,KTrerotola,0,jetblue inflight channel sharktank,20-02-2015 18:13,37.78272176,-111.8706648,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.6652,Bad Flight,0.3446,Delta,TumbaSherman,2,jetblue love guys know paid prem wifi toplay vainglorygame ping terrible cmjriwopo,20-02-2015 18:08,39.07946872,-105.9993833,0.179,0.243,0.578,0.2732,positive,-0.25,negative,-0.25,Very Objective,0.5,0,0,0,0.5,happy
positive,0.632,,0,Delta,innovatefitnow,0,jetblue saved expedia lost costumer jetblue makingthingseasy feelbetter,20-02-2015 18:07,38.64594304,-92.29356391,0.207,0.252,0.541,0.128,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Delta,BillyKace,0,jetblue sunny vpkdsi,20-02-2015 17:27,42.97412067,-97.32205413,0,0.583,0.417,0.4215,positive,0,neutral,0,Very Objective,1,0,0,0,0,happy
neutral,1,,0,Delta,kbosspotter,0,jetblue think snow boston effect flight,20-02-2015 17:26,41.43707077,-97.42709139,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,1,,0,Delta,Bones2245,0,jetblue markie post would like markie,20-02-2015 17:25,40.23123559,-94.08291629,0,0.333,0.667,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Delta,SassmasterJosh,0,jetblue think going mayweather pacquiao,20-02-2015 17:10,37.713576,-94.47707669,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.5,0,0.5,surprise
negative,1,Late Flight,1,Delta,JordantheJew,0,jetblue thanks making miss important dinner tonight delay tarmac worst,20-02-2015 17:08,41.07358125,-102.3310827,0.452,0.266,0.282,-0.5106,negative,-0.133333333,negative,-0.133333333,Very Objective,0.25,0,0,0.75,0,sad
positive,1,,0,Delta,misschris715,0,jetblue terra blue chips favorite,20-02-2015 16:57,39.86843346,-105.7702473,0,0.429,0.571,0.4588,positive,0.25,positive,0.25,Objective,0.33,0,0,0.67,0,sad
positive,1,,0,Delta,greggweiss,0,jetblue confirmation code thanks help mommy daddy kids appreciate,20-02-2015 16:39,43.38507899,-99.23753819,0,0.58,0.42,0.8074,positive,0.2,positive,0.2,Objective,0.67,0,0.33,0,0,happy
neutral,1,,0,Delta,JetBlueNews,0,jetblue airways corporation insider trading update rock hill daily vvzksmfkvw,20-02-2015 16:36,34.9159415,-109.6584677,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.68,,0,Delta,KTrerotola,0,jetblue thanks loose airports time found think fitbit needs make flexes stay carrying bags,20-02-2015 16:34,35.34584894,-97.00207729,0.134,0.169,0.698,0.1531,positive,0.061538462,positive,0.061538462,Very Objective,0,0.25,0.25,0.25,0.25,angry
negative,1,Late Flight,1,Delta,pseudomachine,0,jetblue enough hands count number times something like delayed flight guys disappointed,20-02-2015 16:33,38.02278141,-100.749054,0.298,0.226,0.476,-0.296,negative,-0.375,negative,-0.375,Very Objective,0,0,0,0.33,0.67,fear
negative,1,Customer Service Issue,0.6376,Delta,KTrerotola,0,jetblue called number left message pass along message team,20-02-2015 16:30,33.78061459,-101.7083356,0,0.14,0.86,0.0772,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
positive,0.6846,,0,Delta,hgeronemus,0,cool jetblue hgeronemus anticipate completing installation year sgckbopata,20-02-2015 16:27,37.03048955,-97.47714426,0,0.247,0.753,0.3182,positive,0.35,positive,0.35,Objective,1,0,0,0,0,happy
positive,1,,0,Delta,greggweiss,0,jetblue love guys sooooooo much ridiculously appreciated service,20-02-2015 16:26,37.36763432,-104.638515,0.161,0.503,0.336,0.7269,positive,0.35,positive,0.35,Objective,0.67,0,0.33,0,0,happy
negative,1,Late Flight,1,Delta,greggweiss,0,jetblue option luggage assistance ground flight delayed hours sleeping kids land,20-02-2015 16:22,30.88540764,-100.9558616,0.16,0,0.84,-0.2263,negative,0,neutral,0,Very Objective,0.5,0,0,0,0.5,happy
negative,1,Lost Luggage,1,Delta,KTrerotola,0,jetblue checkin drop found dark blue blackish flex would lost around,20-02-2015 16:17,40.87294847,-99.47793495,0.328,0,0.672,-0.5267,negative,-0.075,negative,-0.075,Very Objective,0,0,0,0.75,0.25,sad
positive,1,,0,Delta,ChicoArtist,1,jetblue officially favorite thank wonderful service,20-02-2015 16:12,42.08372748,-103.4549237,0,0.754,0.246,0.8481,positive,0.75,positive,0.75,Subjective,0.5,0,0.5,0,0,happy
negative,1,Late Flight,0.6748,Delta,pseudomachine,0,jetblue seriously going mthmwaobu,20-02-2015 16:08,42.62152137,-104.1941977,0.362,0,0.638,-0.1779,negative,-0.333333333,negative,-0.333333333,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,1,Delta,farms122,0,jetblue news flight boston delay wait arrive airport based reported hour delay,20-02-2015 16:06,36.4353263,-99.7801446,0.315,0,0.685,-0.5574,negative,0,neutral,0,Very Objective,0,0,0.33,0.33,0.33,surprise
positive,0.6544,,0,Delta,JetBlueNews,0,jetblue airways corporation nasdaq jblu reaches high range streetwise report ctpdkqulm,20-02-2015 16:05,40.360888,-95.78795233,0,0.107,0.893,0.0516,positive,0.16,positive,0.16,Very Objective,0,0,0,0,1,fear
positive,0.6669,,0,Delta,Laneit360,0,jetblue thanks,20-02-2015 15:53,35.84675628,-98.1687652,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
negative,0.653,longlines,0.3513,Delta,noplasticshower,0,jetblue sorry boarding chaos underway please query post scrum,20-02-2015 15:51,39.8326413,-102.7501657,0.376,0.173,0.451,-0.4019,negative,-0.5,negative,-0.5,Very Objective,0,0,0,0.5,0.5,sad
negative,1,Late Flight,0.3442,Delta,barrystanbridge,0,jetblue boarding really impressed learnt valuable lesson,20-02-2015 15:50,47.75524844,-95.1026591,0,0.575,0.425,0.7755,positive,1,positive,1,Very Subjective,0.5,0,0.5,0,0,happy
neutral,1,,0,Delta,Laneit360,0,jetblue question flying time mont need bring anything birth certificate card,20-02-2015 15:50,31.63214825,-99.8833793,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0.5,0.5,sad
neutral,1,,0,Delta,noplasticshower,0,jetblue process begins,20-02-2015 15:48,37.12271356,-102.3694881,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,1,Delta,andrewdobos,0,jetblue filed claim issued credit courtesy whole thing seems exceptionally uncourteous,20-02-2015 15:45,38.71074177,-98.30288765,0,0.362,0.638,0.6249,positive,0.433333333,positive,0.433333333,Neutral,0,0,0.4,0.2,0.4,surprise
negative,1,Late Flight,1,Delta,noplasticshower,0,jetblue boarding good luck push wheels reality dare,20-02-2015 15:44,40.44659467,-103.3329159,0,0.496,0.504,0.7096,positive,0.7,positive,0.7,Subjective,0.5,0,0,0,0.5,happy
negative,0.6931,Can't Tell,0.3663,Delta,barrystanbridge,0,jetblue tried burger good expensive lead believe food cheap butnot,20-02-2015 15:39,37.70100724,-98.63751826,0,0.244,0.756,0.4404,positive,0.2,positive,0.2,Very Objective,1,0,0,0,0,happy
negative,1,Customer Service Issue,0.3395,Delta,barrystanbridge,0,jetblue trying tired getting grumpy,20-02-2015 15:34,40.09616319,-100.4741028,0.42,0,0.58,-0.4404,negative,-0.4,negative,-0.4,Very Objective,0,0,0,1,0,sad
negative,0.6703,Late Flight,0.6703,Delta,barrystanbridge,0,jetblue flight long arrived london morning,20-02-2015 15:27,45.05621584,-105.9866638,0,0,1,0,neutral,-0.05,negative,-0.05,Very Objective,0,0,0,0,1,fear
negative,0.6593,Late Flight,0.6593,Delta,NicoleMarieNoel,0,jetblue deal plane ground instead diverting plane adding flight,20-02-2015 15:18,32.3025147,-103.3348622,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0.5,0.5,sad
negative,1,Lost Luggage,0.6842,Delta,HCtwo,0,jetblue looks like inflatable seats left plane guess back sometime savethoseseats,20-02-2015 15:15,48.37139317,-93.6214796,0,0.2,0.8,0.3612,positive,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6874,,0,Delta,Rowe0neTen,0,jetblue imma need hook,20-02-2015 15:12,40.27717541,-101.4892607,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Delta,Rowe0neTen,0,jetblue thanks,20-02-2015 15:11,33.33548002,-94.04110382,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
neutral,1,,0,Delta,Rowe0neTen,0,jetblue california,20-02-2015 15:07,42.69436215,-104.7861364,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.66,,0,Delta,mkboston13,0,jetblue thanks week direct flights went thru,20-02-2015 15:01,50.40906215,-98.89399136,0,0.326,0.674,0.4404,positive,0.15,positive,0.15,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Delta,Rowe0neTen,0,jetblue hawaii deals,20-02-2015 14:58,36.62082608,-99.82440257,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6492,,0,Delta,pseudomachine,0,jetblue thank,20-02-2015 14:55,42.8621541,-101.5280574,0,0.714,0.286,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Booking Problems,0.7001,Delta,JNH_61,0,jetblue summer tpzhjxhbt,20-02-2015 14:54,31.42653042,-102.2902087,0,0,1,0,neutral,0,neutral,0,Very Objective,1,0,0,0,0,happy
neutral,0.7088,,0,Delta,Rowe0neTen,0,jetblue prices,20-02-2015 14:51,33.86751134,-94.45529577,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.7065,,0,Delta,AroundTownGabby,0,jetblue looking forward finally take,20-02-2015 14:48,42.15286059,-96.4553166,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,1,Delta,pseudomachine,0,jetblue flight already delayed,20-02-2015 14:48,47.52080115,-106.9647468,0.388,0,0.612,-0.2263,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Late Flight,1,Delta,pseudomachine,0,jetblue must always delay late flight night orlando flights,20-02-2015 14:44,39.9405134,-103.9913262,0.223,0,0.777,-0.3182,negative,-0.3,negative,-0.3,Very Objective,0,0,0,1,0,sad
negative,1,Lost Luggage,1,Delta,CGjmf,0,jetblue second incident lost baggage sent thoughts,20-02-2015 14:28,43.49491233,-107.161509,0.277,0,0.723,-0.3182,negative,0,neutral,0,Very Objective,0,0,0,0.33,0.67,fear
negative,1,Late Flight,1,Delta,timmybicicleta,0,jetblue maybe announce delay plane runway hour taking,20-02-2015 14:27,41.45880692,-106.0535738,0.247,0,0.753,-0.3182,negative,0,neutral,0,Very Objective,0,0,1,0,0,surprise
positive,1,,0,Delta,NapToniusMonk,0,jetblue please come indianapolis,20-02-2015 14:23,40.7196307,-101.1753046,0,0.434,0.566,0.3182,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Late Flight,1,Delta,timmybicicleta,0,jetblue flight tampa takeoff late flight,20-02-2015 14:19,32.497515,-101.2808801,0,0,1,0,neutral,-0.3,negative,-0.3,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Delta,VegasKingpin,0,jetblue release november flights flight booking problems,20-02-2015 14:16,33.19671518,-100.6264188,0.31,0,0.69,-0.4019,negative,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.6766,Customer Service Issue,0.3537,Delta,noplasticshower,0,jetblue grasshopper twitterz kung good hire geeks mwitrikf,20-02-2015 14:13,51.55163622,-112.5333582,0.136,0.282,0.583,0.3612,positive,0.7,positive,0.7,Subjective,1,0,0,0,0,happy
negative,0.6609,Customer Service Issue,0.6609,Delta,JNH_61,0,jetblue discontinue nonstop service cannot find anywhere,20-02-2015 14:10,37.0908349,-106.9093725,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Late Flight,1,Delta,NicoleMarieNoel,0,jetblue noooo previously direct flight diverted arriving almost late flightr,20-02-2015 14:06,49.11677144,-101.1047438,0,0,1,0,neutral,-0.1,negative,-0.1,Very Objective,0,0,0,0.5,0.5,sad
negative,0.6987,Can't Tell,0.6987,Delta,noplasticshower,0,well could negroni bitcoin jetblue,20-02-2015 14:05,42.85020783,-101.0447655,0,0.344,0.656,0.2732,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6563,,0,Delta,pveganmama,0,jetblue know schedule released,20-02-2015 14:05,44.84897953,-94.56923145,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Delta,mkboston13,0,jetblue direct flights lucia antigua,20-02-2015 14:04,44.39965673,-100.7731881,0,0,1,0,neutral,0.1,positive,0.1,Very Objective,0,0,0,0,1,fear
positive,1,,0,Delta,_stephanieejayy,0,jetblue okay thanks hope flying guys soon,20-02-2015 13:56,44.44475393,-93.33109536,0,0.658,0.342,0.7717,positive,0.35,positive,0.35,Objective,0,0,0,0,1,fear
neutral,1,,0,Delta,_stephanieejayy,0,jetblue afternoon flights going seem find early morning flights,20-02-2015 13:53,39.37982719,-97.2382342,0,0,1,0,neutral,0.1,positive,0.1,Very Objective,0,0,0,0.5,0.5,sad
neutral,1,,0,Delta,KatieKane84,0,jetblue flying airline,20-02-2015 13:47,35.72682632,-108.1555317,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.7153,,0,Delta,GuidanceGirlEm,0,jetblue loved natural beefjerky snacks,20-02-2015 13:42,41.85937757,-97.65081451,0,0.681,0.319,0.7506,positive,0.4,positive,0.4,Objective,1,0,0,0,0,happy
positive,0.6322,,0,Delta,ErinGambo,0,jetblue thanks reply flight,20-02-2015 13:41,44.40035852,-102.2558842,0,0.492,0.508,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
positive,1,,0,Delta,alixpeabody,0,jetblue must send note good words,20-02-2015 13:28,38.52187394,-97.41136771,0,0.367,0.633,0.4404,positive,0.7,positive,0.7,Subjective,0.33,0.33,0,0,0.33,happy
